"Italian Fiscal Data","Magenio Privato/Azienda"
"Configuration Magenio Italian Fiscal Data","Configurazione Magenio Privato/Azienda"
"Mode","Modalità"
"Private Configuration","Configurazione Privato"
"Tax Code Required","Codice Fiscale Obbligatorio"
"Company Configuration","Configurazione Azienda"
"Tax Vat Required","Partita Iva Obbligatoria"
"Company Required","Ragione Sociale Obbligatoria"
"Tax code","Codice Fiscale"
"Company","Ragione Sociale"
"VAT Number","Partita Iva"
"Is Business Address?","Sei un Professionista/Azienda?"
"Yes","Si"
"No","No"
"Enabled","Abilita"
"Enable Module","Attiva modulo"
"Wrapping fields in invoice request","Includi campi dentro la richiesta di fattura"
"Enable Checkbox ""You want Invoice""?","Attiva Checkbox ""Vuoi la fattura""?"
"Tax Code Always Visibile","Codice Fiscale sempre visibile"
"The required setting is inherited from company setting","L'impostazione obbligatoria verrà ereditata dalla configurazione azienda"
"Tax Code Validation","Validazione Codice Fiscale"
"Validation VAT Number","Validazione Partita IVA"
"Private Mode","Modalità Privato"
"Company Mode","Modalità Azienza"
"Private/Business","Privato/Azienda"
"Magenio","Magenio"
"Please enter a valid VAT Number","Inserisci una Partita IVA valida"
"Please enter a valid TaxCode","Inserisci un codice fiscale valido"
"You want invoice?","Vuoi la fattura?"
"Tax Code Hidden","Codice Fiscale non visibile"
"Other Configurations","Altre Configurazioni"
"Enable Address form for Register Page","Abilita form degli indirizzi per la pagina di registrazione"
"Enable Persistent to Register Page","Abilita Persistenza per la pagina di registrazione"
"Set No if Address form is disabled for Register Page","Imposta su NO se il form degli indirizzi è disattivato per la pagina di registrazione"
"Enable Persistent function to Checkout","Abilita Persistenza per il checkout"